Name,Country,Sea,Lon,Lat,LargestUseWithinDecade,Amended class,Decade
Cape Lisburne,US,Chukchi,-166.21437,68.88261,"At least 100 and fewer than 1,000",4,1990
Cape Thompson,US,Chukchi,-165.97778,68.14389,"At least 100 and fewer than 1,000",4,1990
Cape Vankarem,RU,Chukchi,-175.81378,67.84808,unknown number,1,1990
Corwin Bluff,US,Chukchi,-165.102,68.875,unknown number,1,1990
Point Barrow,US,Chukchi,-156.47319,71.3898,At least 1 and fewer than 10,4,1990
Cape Espenberg,US,Chukchi,-163.61694,66.55889,unknown number,1,1990
Cape Netten,RU,Chukchi,-171.90164,66.96184,unknown number,1,1990
Cape Ryrkalen,RU,Chukchi,-174.72598,66.91786,"At least 100 and fewer than 1,000",4,1990
Chegitun River mouth,RU,Chukchi,-171.05197,66.55678,"At least 10,000 and fewer than 100,000",6,1990
Cape Blossom,RU,Chukchi,178.76899,70.78325,"At least 10,000 and fewer than 100,000",6,1990
Cape Onmyn,RU,Chukchi,-175.26796,67.65853,"At least 1,000 and fewer than 10,000",5,1990
Idlidlya Island,RU,Chukchi,-172.77874,67.04941,"At least 1,000 and fewer than 10,000",5,1990
Cape Shelagsky,RU,East Siberian,170.45477,70.10131,"At least 10,000 and fewer than 100,000",6,1990
Zhupanovo village,RU,North Pacific,159.90802,53.67392,At least 1 and fewer than 10,4,1990
