Name,Country,Sea,Lon,Lat,LargestUseWithinDecade,Class,Decade
Cape Lisburne,US,Chukchi,-166.21437,68.88261,"At least 100 and fewer than 1,000",4,1990
Cape Lisburne,US,Chukchi,-166.21437,68.88261,"At least 1,000 and fewer than 10,000",5,2000
Cape Lisburne,US,Chukchi,-166.21437,68.88261,"At least 1,000 and fewer than 10,000",5,2010
Cape Thompson,US,Chukchi,-165.97778,68.14389,"At least 100 and fewer than 1,000",4,1990
Cape Thompson,US,Chukchi,-165.97778,68.14389,"At least 100 and fewer than 1,000",4,2000
Cape Vankarem,RU,Chukchi,-175.81378,67.84808,unknown number,1,1990
Cape Vankarem,RU,Chukchi,-175.81378,67.84808,"At least 10,000 and fewer than 100,000",6,2000
Cape Vankarem,RU,Chukchi,-175.81378,67.84808,"At least 10,000 and fewer than 100,000",6,2010
Corwin Bluff,US,Chukchi,-165.102,68.875,unknown number,1,1990
Corwin Bluff,US,Chukchi,-165.102,68.875,"At least 1,000 and fewer than 10,000",5,2000
Corwin Bluff,US,Chukchi,-165.102,68.875,"At least 1,000 and fewer than 10,000",5,2010
Point Barrow,US,Chukchi,-156.47319,71.3898,At least 1 and fewer than 10,2,1990
Point Barrow,US,Chukchi,-156.47319,71.3898,At least 1 and fewer than 10,2,2000
Point Hope,US,Chukchi,-166.782,68.355,At least 1 and fewer than 10,2,2000
Cape Espenberg,US,Chukchi,-163.61694,66.55889,unknown number,1,1990
Cape Espenberg,US,Chukchi,-163.61694,66.55889,"At least 1,000 and fewer than 10,000",5,2000
Cape Krusenstern,US,Chukchi,-163.74528,67.12806,"At least 100 and fewer than 1,000",4,2000
Cape Netten,RU,Chukchi,-171.90164,66.96184,unknown number,1,1990
Cape Ryrkalen,RU,Chukchi,-174.72598,66.91786,"At least 100 and fewer than 1,000",4,1990
Cape Waring,RU,Chukchi,-177.51357,71.26525,"At least 1,000 and fewer than 10,000",5,2000
Cape Waring,RU,Chukchi,-177.51357,71.26525,"At least 1,000 and fewer than 10,000",5,2010
Chegitun River mouth,RU,Chukchi,-171.05197,66.55678,"At least 10,000 and fewer than 100,000",6,1990
Chegitun River mouth,RU,Chukchi,-171.05197,66.55678,"At least 10,000 and fewer than 100,000",6,2000
Chegitun River mouth,RU,Chukchi,-171.05197,66.55678,"At least 10,000 and fewer than 100,000",6,2010
Barrier Islands North of Point Lay,US,Chukchi,-162.2805,70.2109,"At least 1,000 and fewer than 10,000",5,2000
Barrier Islands North of Point Lay,US,Chukchi,-162.2805,70.2109,"At least 1,000 and fewer than 10,000",5,2010
Cape Blossom,RU,Chukchi,178.76899,70.78325,"At least 10,000 and fewer than 100,000",6,1990
Cape Blossom,RU,Chukchi,178.76899,70.78325,"At least 10,000 and fewer than 100,000",6,2000
Cape Blossom,RU,Chukchi,178.76899,70.78325,"At least 10,000 and fewer than 100,000",6,2010
Cape Onmyn,RU,Chukchi,-175.26796,67.65853,"At least 1,000 and fewer than 10,000",5,1990
Cape Onmyn,RU,Chukchi,-175.26796,67.65853,"At least 1,000 and fewer than 10,000",5,2000
Cape Onmyn,RU,Chukchi,-175.26796,67.65853,"At least 1,000 and fewer than 10,000",5,2010
Barrier Islands East of Icy Cape,US,Chukchi,-161.635,70.305,"At least 1,000 and fewer than 10,000",5,2000
Barrier Islands East of Icy Cape,US,Chukchi,-161.635,70.305,unknown number,1,2010
Idlidlya Island,RU,Chukchi,-172.77874,67.04941,"At least 1,000 and fewer than 10,000",5,1990
Idlidlya Island,RU,Chukchi,-172.77874,67.04941,"At least 1,000 and fewer than 10,000",5,2010
