"PK","Name","AlternateName","Русское название", "Country","Sea","Region","Lon","Lat","Notes","OrderOfLargestUse","LargestUse","DecadeOfMostRecentReportedUse","HerdCompositions","Use_in_Jan_Feb_Mar","Use_in_Apr_May_Jun","Use_in_Jul_Aug_Sep","Use_in_Oct_Nov_Dec","LinearFeature"
15,"Cape Seryy","Cape Seryy-Anana, Vadopadnoye; Cape Anana","мыс Серый","RU","Bering","Kamchatka and Commander Islands","169.15221","60.15058","Haulout Description: 
Cape on eastern mouth of Olyutorsky Gulf, on the western end of Cape Olyutorsky, located on narrow coast line between Capes Seryy and Anana both are west of Cape Olytorsky 12 and 24 km accordingly (V. Burkanov written communication; Burkanov 1988). 

Historical Use:  
Regularly use by walruses reported from 1983 to 2004 (Semenov and others 1988, Burkanov 1988, Burkanov and others 1988, Grachev 2000, Testin 2004). Use was noted during the autumn aerial surveys of 1980, 1985 and 1990 (Fedoseev 1981, Fedoseev and Razlivalov 1986, Gilbert and others 1992).  This site was visited by V. Burkanov, of Kamchatrybvod,  most summers from 1983 - the early 1990's.",3,"At least 1,000 and fewer than 10,000 walruses",2000,"Not reported",0,0,1,1,0
17,"Cape Blossom",,"Мыс Блоссом","RU","Chukchi","Wrangel Island area","178.76899","70.78325","Haulout Description:  
Spit on southwest shore of Wrangel Island.

Historical Use:  
Cape Blossom is known as a large haulout from the early 20th century when the Soviets began use of the island (Gromoff, 1961).  Kochnev (1991, 2001, 2010) describes recent occurrence from 1,600 to 50,000 walruses aggregating here in 1990-1997.  Gol'tsev (1968) and Tomilin and Kibal'chich (1975) indicate use of Cape Blossom by up to 35,000 walruses during September.  Use by 76,702 walruses was reported on 9 September during the 1990 aerial survey (Gilbert and others 1992).  Ground observations indicate frequent predatory interactions with polar bears and report substantial moralities attributed to crushing as well as polar bear predation (Kochnev 2002).  For further information contact TINRO Magadan, Wrangel Island State Reserve, and the Chukotka branch of TINRO-center.",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Predominately females and dependent calves",0,0,1,1,0
18,"Cape Bol'shoy Baranov",,"мыс Большой Баранов","RU","East Siberian","East Siberian coast","164.02938","69.74586","Haulout Description:  
East Siberian coast within 65 km of Kolyma River delta and more than 200 km west of Chaunskaya Bay.

Historical Use:  
In 1964 four walruses reported to have hauled-out on this cape (Obukhov, 1974).  Local hunters indicated that 2-3 walruses rested here in 2001-2002, oral communication to A.A. Kochnev of ChukotTINRO.",0,"Fewer than 10 walruses",2000,"not reported",0,0,1,0,0
19,"Cape Chaplina",,"мыс Чаплина","RU","Bering","Bering Strait and Chirikov Basin","-172.24046","64.40411","Haulout Description:  
Sharp spit of a cape approximately 35 km south of Arakamchechen island in Anadyr Strait.

Historical Use:  
Walruses reported hauled out here during the 18th and 19th century (Arsen'ev 1927, Arutyunov and others 1982).  No haulout size was indicated in the reports.",-1,"Not Reported",1850,"Not reported",0,0,0,0,0
20,"Cape Chibukak","Chibukak Point; Northwest Cape",,"US","Bering","Saint Lawrence Island","-171.67110","63.78662","Haulout description:
A point of land east of the community of Gambell.

History of use:
Irregular fall (October-November) use of Cape Chibukak by groups up to several hundred walruses was reported in the 1960's and 1970's by Saint Lawrence Island residents (Fay and Kelly 1980). Recent use is described as intermittent (every couple of years); primarily in October and November; primarily males in groups of up to 100 animals (Clarence Irigoo Sr. of Gambell oral communication to USFWS, 2013).  Contact the Sivuqaq Native Corporation for further information.",2,"At least 100 and fewer than 1,000 walruses",2010,"Predominately males",0,0,0,1,0
21,"Cape Constantine","Protection Point",,"US","Bering","Bristol Bay","-158.70692","58.49612","Haulout description: 
Cape Constantine is at the eastern point of the southern end of the Nushagak Peninsula. Walruses primarily haul out on the east side of the Cape near Protection Point (Moses Toyukak, Sr. of the Eskimo Walrus Commission oral communication to the US Fish and Wildlife Service 2013).

History of use:
Irregular summer use by small numbers of walruses was reported in the 1960's through 1980's (Frost and others, 1982; Fay and Lowry, 1981). During his tenure as a herring spotter (1984, and 1988-2000) Joe Phillips recounted observing a group of tens of walruses at Cape Constantine and noted that the stretch of beach between Cape Constantine and Kulokluk Bay regularly received beach cast dead walruses (oral communication to A.S. Fischbach, 2015).  In recent years, groups of walruses (up to 40 animals) are occasionally seen here, usually in May (Moses Toyukak, Sr. of the Eskimo Walrus Commission oral communication to USFWS, 2013).  For more information regarding haulout use at this site and land ownership, contact the Togiak National Wildlife Refuge.",1,"At least 10 and fewer than 100 walruses",2010,"Predominately males",0,1,0,0,0
22,"Cape Corvin","Korvin, Gavaii, Gavai, Mys Gavaii","Мыс Корвин","RU","Chukchi","Wrangel Island area","-177.71414","71.06538","Haulout Description:  
Eastern south Wrangel Island near Kler River.  Names have varied in the English literature, with an incorrect transliteration of Gavai, because the 1990 aerial survey observers confused it with Cape Gavai which is located in 9 km to the southwest from Cape Corvin.

Historical Use:  
Use by 49 walruses was reported on 9 September noted during the 1990 aerial survey (Gilbert and others 1992).",1,"At least 10 and fewer than 100 walruses",1990,"not reported",0,0,1,0,0
23,"Cape Darby",,,"US","Bering","Norton Sound","-162.78687","64.32625","Haulout description: 
A prominent Cape on the north shore of Norton Sound. Walrus haulouts have been reported on the northeast tip of the Cape (Kawerak 2013).

History of use:
Irregular summer (June) use by small numbers of walruses (up to 50) was reported in the late 1970's and early 1980's (Frost and others 1982). Subsistence walrus hunters from the community of Elim report that juvenile walruses are occasionally seen at Cape Darby during the summer months, and that large haulouts of 3,000 to 4,000 animals, have been observed in the past during the Spring migration (Kawerak, 2013).  Contact the Alaska Maritime National Wildlife Refuge or the Native Village of Golovin for further information.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately males",0,1,1,0,0
24,"Cape Denbigh",,,"US","Bering","Norton Sound","-161.53417","64.38111","Haulout description: 
A prominent Cape on the northeast shore of Norton Sound, 19 km west-northwest of Shaktoolik. 

History of use: 
Published reports are limited to an observation of a single walrus hauled out at Cape Denbigh in June of 1981 (Frost and others 1982). There have been no recent walrus sightings at Cape Denbigh. Area residents report that lone animals or small groups of walruses are occasional seen swimming in Norton Sound during the summer months (June-July) but are rarely sighted on shore (Kermit Ivanoff, Sr. of the Eskimo Walrus Commission oral communication to the US Fish and Wildlife Service 2013).  Contact the Alaska Maritime National Wildlife Refuge or the Native Village of Shaktoolik for further information.",0,"Fewer than 10 walruses",1980,"not reported",0,1,0,0,0
25,"Cape Espenberg",,,"US","Chukchi","Kotzebue Sound","-163.61694","66.55889","Haulout description:
Northern tip of the seaward  Peninsula. 

History of use:
Reports by Kotzebue residents indicate sporadic fall use of Cape Espenberg by groups of walruses ranging in size from tens to hundreds of animals (Victor Karmun of the Eskimo Walrus Commission oral communication to the US Fish and Wildlife Service 2009). A large haulout or more than 1,000 walruses was observed at Cape Espenberg during a coastal aerial survey in September 2009 (Jonathan Snyder of the USFWS office of Marine Mammals Management oral communication, 2009).  Contact the Bering Land Bridge National Preserve for further information.",3,"At least 1,000 and fewer than 10,000 walruses",2000,"not reported",0,0,1,0,0
26,"Cape Etolin",,,"US","Bering","Kuskokwim Bay Etolin Strait","-166.16409","60.42794","Haulout description:
Cape Etolin is on the NW coast of Nunivak Island.

History of use:
Recorded haulout use consists of a record of ""hundreds"" of walruses hauling out at Cape Etolin from October through December in 1978 (Frost and others 1982). No significant walrus haulouts have been reported on Nunivak Island over the past 30 years, however lone stragglers occasionally make landfall during the spring migration along the shoreline of Nunivak Island (Charlie Spud Sr. of the Eskimo Walrus Commission oral communication to the US Fish and Wildlife Service 2013).  For further information contact the Yukon Delta National Wildlife Refuge or the Mekoryuk Native Corporation.",2,"At least 100 and fewer than 1,000 walruses",1970,"not reported",0,0,0,1,0
27,"Cape Florens",,"мыс Флоренс","RU","Chukchi","Wrangel Island area","178.90998","71.21950","Haulout Description: 
Spit on the delta of a river in northwestern Wrangel Island, 50 km north of Cape Blossom.

Historical Use: 
Use reported between 1935 and 1940 (Gromov 1961 as cited by Kochnev 2001).  No haulout size was indicated in the reports.",-1,"Not Reported",1940,"Not reported",0,0,0,0,0
29,"Cape Geka",,"мыс Гека","RU","Bering","Gulf of Anadyr","178.24585","64.40727","Haulout Description: 
Spit on southern mouth of the Anadyr River.

Historical Use: 
Regular use by walruses reported before 1906 (Gondatti 1897) and between 1911 and 1926 (Suvorov 1914, Karayev 1926). From 1927 to 1983 no use reported. In 1984 smaller numbers of walruses reported here (Smirnov 1985).  Chukotka Department of Agriculture report to ChukotTINRO (A.A. Kochnev) indicates observations of up to 500, predominantly male, walruses hauled out in summer during the 2000's.",2,"At least 100 and fewer than 1,000 walruses",2000,"Predominately males",0,0,1,0,0
30,"Cape Golenishchev","Cape Golenishcheva","мыс Голенищева","RU","Bering","Kamchatka and Commander Islands","164.58697","59.23563","Haulout Description:  
Cape on northernmost point of Karaginsky Island.

Historical Use:  
Use was noted in 1980's (Semenov and others 1988, Burkanov and others 1988, Kitayev 1988).  During the 1990 aerial survey 2,000 walruses were counted on 5 September (Gilbert and others 1992).  Use was noted 1997-2003 (Grachev 2000, Testin 2004).  Semenov and others (1988) indicate that only male walruses have been reported at the Kamchatka haulouts.",3,"At least 1,000 and fewer than 10,000 walruses",2000,"Predominately males",0,0,1,1,0
31,"Cape Galinvilan","Cape Peschany; Cape Goven","мыс Галинвилан","RU","Bering","Kamchatka and Commander Islands","166.20059","60.11159","Haulout Description:  
Cape on eastern shores of Korfa Bay.

Historical Use:  
The highest reported numbers of walruses using this cape occurred in the 1980's with a peak reported usage of 3,700 reported during August of 1987 (Fedoseev and Razlivalov 1986, Semenov and others 1988, Burkanov 1988, Burkanov and others 1988). Last confirmed use was in 2002 (Testin 2004).  Semenov and others (1988) indicate that only male walruses have been reported at the Kamchatka haulouts, however no reports offer data on the age-sex composition of this haulout.",3,"At least 1,000 and fewer than 10,000 walruses",2000,"Predominately males",0,1,1,1,0
32,"Cape Inchoun","Inchoun; Inchounskoe; Ingshong","мыс Инчоун","RU","Chukchi","Western Chukchi Coast","-170.16536","66.24753","Haulout Description: 
Cape approximately 17 km west of the settlement of Uelen just to the west of Uelen lagoon.

Historical Use:  
Regular use by walruses has been reported during all of the 20th Century with occasional breaks in the usage (Arsen'ev 1927, Zenkovich 1938, Belopol'sky 1939, Nikulin 1941, Nikulin 1947, Geller 1957, Yablokov and Bel'kovich 1962, Krylov and others 1964, Fedoseev 1966, Krylov 1968, Gol'tsev 1968, Gol'tsev 1972, Estes and Gol'tsev 1984, Gilbert and others 1992, Grachev 2000, Zheleznov-Chukotsky and others 2003).
  On October 5, 1962 Goltsev (1968) estimated that more than ten thousand walruses were present here.  Kochnev noted very little use during 2007 - 2010 (oral communication from local hunters to A.A. Kochnev).  During 2011 monitoring efforts between 15 August and 11 October revealed use by hundreds to thousands of predominantly male walruses with some young and female walruses present (Kochnev 2012).  In late November of 2011 observations indicated more than ten thousand walruses present at Inchoun (Kochnev 2012).",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,1
33,"Cape Inkigur","Seshan","Мыс Инкигур","RU","Chukchi","Western Chukchi Coast","-171.37950","66.73535","Haulout Description:  
Cape to the east of Cape Serdtse-Kamen'.

Historical Use:  
Irregular use observed during all of the 20th Century (Karayev 1926, Zenkovich 1938).   Use was noted during the 1980, and 1985 aerials surveys (Fedoseev 1981, Fedoseev and Razlivalov 1986).  On 30 September 1990 1,686 walruses were reported by the aerial survey effort (Gilbert and others 1992).  In 1990's to present use has been reported every year (oral communication from local hunters to A.A. Kochnev and unpublished data of ChukotTINRO).",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,1
34,"Cape Ippag","Ippagskoe","мыс Иппаг","RU","Chukchi","Western Chukchi Coast","-176.97667","68.13457","Haulout Description:  
This cape does not appear as a named place in modern maps. Most probably between Vykvyv'yal and Nutev'i lagoons, approximately 55 km northwest of Cape Vankarem.

Historical Use:  
Used noted by V.K. Arsen'ev (1927) before 1927.  Decade of most recent reported use assigned to 1920's.  No haulout size was indicated in the reports.",-1,"Not Reported",1920,"Not reported",0,0,0,0,0
35,"Cape Jehnretlen",,"мыс Дженретлен","RU","Chukchi","Western Chukchi Coast","-173.64746","67.11028","Haulout Description:  
Prominent cape to the east of Belyak Spit.

Historical Use:  
Use reported by P.V. Garin during 1934 (1935 unpublished report).  No haulout size was indicated in the report.",-1,"Not Reported",1930,"Not reported",0,0,0,0,0
36,"Cape Kekurny","Uelen","мыс Кекурный","RU","Chukchi","Bering Strait and Chirikov Basin","-169.69700","66.13609","Haulout Description:  
Cape east of the settlement of Uelen on the northern edge of the Bering Strait.

Historical Use: 
Use by up to 6,500 walruses noted during 1934, 1964 and 2011 (Gol'tsev 1968, Zenkovich 1938, Nikulin 1941, Kochnev 2012).  During 2011 haulout formation began in mid-September and lasted for approximately ten days (Kochnev 2012).",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Not reported",0,0,1,0,0
37,"Cape Kel'enevyt",,"мыс Кэльэнэвыт","RU","Chukchi","Western Chukchi Coast","-175.26624","67.58814","Haulout Description:  
Minor cape between Cape Vankarem and Kolyuchin Island.

Historical Use: 
Irregular use reported in the 1990's through the 2000's by up to 1,300 (Kochnev and others 2008b, Kochnev 2010a).  Available reports do not provide analysis nor confirmation of the age sex composition, however, based on observations of A.A. Kochnev, this haulout is attended by a mix of ages and sexes.",3,"At least 1,000 and fewer than 10,000 walruses",2000,"Mixed age and sex classes",0,0,1,1,0
38,"Cape Kriguigun","Kriguigun; Akkaniiskii; Yandogay","мыс Кригуйгун","RU","Bering","Bering Strait and Chirikov Basin","-171.04979","65.46632","Haulout Description:  
Cape on the northern edge of Mechigmenskiy Bay and south of Lavrentiya Bay near the community of Lorino.

Historical Use:  
First noted by Estes, Gol'tsev (1984) as used by up to 12,000 walruses in 1972-1974. Regular use reported during the 1980's (Unpublished archives of OkhotskRybVod; Kochnev, unpublished data; Zdor and others 2009).  Use by over 2.5 thousand walruses was noted during the 1990 aerial survey (Gilbert and others 1992); however Kochnev (2012) notes that walruses had ceased to use this haulout during the 1990's.  Genady Smirnov of ChukotTINRO observed only male walruses at this haulout (oral communication to A.A. Kochnev).  During 2011 observations efforts no walruses were observed on shore here on 23 June, nor during 13 August through 30 September, although walruses were observed most days in the waters near this haulout and Lorino hunters harvested 83 walruses from the waters near this haulout (Kochnev 2012).  No reports on the composition of walruses on shore at this haulout are available, however, observers and hunters report about prevalence of males in the waters near this haulout in summer (Kochnev 2012).",3,"At least 1,000 and fewer than 10,000 walruses",1990,"Not reported",0,0,1,1,0
39,"Cape Kronotsky","Cape Kronotskiy","мыс Кроноцкий","RU","North Pacific","Kamchatka and Commander Islands","162.15000","54.75170","Haulout Description:  
Cape between Kronotskiy Bay and Kamchatskiy Bay 240 km west of the Commander Islands.

Historical Use:  
Use reported in 1852 by K. von Ditmar (1901).  During the 20th Century only observations of solitary male walruses have been reported (Semenov and others 1988).",0,"Fewer than 10 walruses",1850,"Not reported",0,0,0,0,0
40,"Cape Krusenstern",,,"US","Chukchi","Kotzebue Sound","-163.74528","67.12806","Haulout description:
Prominent cape 56 km northwest of Kotzebue on the northern entrance to Kotzebue Sound. No specific haulout sites are indicated in the available reports.

History of use:
Sporadic sightings of small groups or single animals were reported along the Chukchi Sea coast near Cape Krusenstern in the 1970's (Frost and others 1983).  Kotzebue residents report sporadic autumn use by groups ranging from tens to hundreds of animals at Cape Krusenstern in the 2000's (Victor Karmun of the Eskimo Walrus Commission oral communication to the US Fish and Wildlife Service 2009).  Contact the Cape Krusenstern National Monument for further information.",2,"At least 100 and fewer than 1,000 walruses",2000,"not reported",0,0,1,1,0
41,"Cape Kygynin on the Arakamchechen Island","Arakamchechen Island; Cape Kygynin","Мыс Кыгынин (остров Аракамчечен)","RU","Bering","Bering Strait and Chirikov Basin","-172.06893","64.75803","Haulout Description:  
Eastern cape of Arakamchechen Island.

Historical Use:  
Use is well known during the 19th Century (Suvorov 1914, Arsen'ev 1927).   Active use by walruses has been reported throughout most of the 20th Century (Razumovsky 1931, Belopol'sky 1939, Zenkovich 1938, Nikulin 1941, Krylov and others 1964, Geller 1957, Kleinenberg and others 1964, Somov and others 1982, Krylov 1968, Gol'tsev 1968, Gol'tsev 1972, Estes and Gol'tsev 1984, Kibal'chich 1978, Kibal'chich 1988, Kibal'chich 1979, Fedoseev 1981, Mymrin and others 1990, Mymrin and others 1988, Fedoseev and Razlivalov 1986, Mymrin 1991, Grachev and Mymrin 1991, Kruse 1995, Zheleznov-Chukotsky and others 2003).   Declines in use were noted in the early and mid-20th century (Krylov 1951).  Nikulin (1941) noted that use during the 1930's became sparse, and Krylov (1951) indicated that use declined after 1946 and became restricted to autumn use.  The maximum haulout count within recent decades was noted on 2 September 1990 by Kruse (1995) as 10,000 walruses based on unpublished data from the Provideniya Fisheries Inspection.  In 2000's only small numbers of walruses have been reported by local hunters (oral communication to A.A. Kochnev of ChukotTINRO). During visits to the island during July of 2009 and 2010 Ovsyanikov reported approximately 100 and 126 walruses respectively; but only 3 walruses during a 15 August 2010 visit (Ovsyanikov 2012). During late July of 2011 Novoye Chaplino hunters observed up to 600 walruses resting here, although periodic observation efforts throughout late August and September of 2011 resulted in no observations of walruses on shore here (Kochnev 2012).  Fay (1982) indicates use by male walruses in July.  During the 1975 aerial survey effort Gol'tsev (1976) reported use by up to tens of thousands of walruses during 17 September through 16 October and Estes, and Gol'tsev (1984) provide an estimate of that approached 42 thousand on 21 September 1975 based on extrapolations from areal and density estimates combined with individual counts.",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Predominately males",0,0,1,1,0
42,"Cape Lewis",,,"US","Chukchi","Eastern Chukchi Sea","-166.19806","68.71472","Haulout description:
Small groups of walruses occasionally haulout along the coast in either direction from Cape Lewis (Ronald Oviok Sr. of the Eskimo Walrus Commission personal communication to J. Garlich-Miller of the USFWS 2013).

History of use:
Sporadic sightings of walruses (up to 500 animals) were reported near Cape Lewis in the late 1970's and early 1980's (Frost and others 1983). Point Hope residents report occasional sightings of small groups along the Chukchi Sea coast near Cape Lewis during the 2000's and 2010's (Ronald Oviok Sr. of the Eskimo Walrus Commission oral communication to J. Garlich-Miller of the USFWS, 2013).  Contact the Alaska Maritime National Wildlife Refuge for further information.",2,"At least 100 and fewer than 1,000 walruses",2000,"Predominately males",0,0,1,0,0
43,"Cape Leymin",,"мыс Леймин","RU","Bering","Bering Strait and Chirikov Basin","-170.26010","65.95614","Haulout Description:  
Minor cape approximately 21 km southeast of Cape Pe'ek.

Historical Use:  
One time use by up to 3,000 walruses has been reported during 1934 (Zenkovich 1938, Nikulin 1941).",3,"At least 1,000 and fewer than 10,000 walruses",1930,"Not reported",0,0,1,0,0
